MCC Code,Chase Freedom Unlimited®,Wells Fargo Active Cash® Card,Capital One Venture Rewards Credit Card,Blue Cash Preferred® Card from American Express,Capital One SavorOne Cash Rewards Credit Card,Chase Sapphire Preferred® Card,U.S. Bank Visa® Platinum Card,Wells Fargo Reflect® Card,Discover it® Cash Back,Darb Card
7829,4x points,1x points,1x points,4x points,4.15% cashback,3x points,2.33% cashback,3x points,2x points,1.38% cashback
5131,3.96% cashback,4x points,5x points,1x points,2.89% cashback,4.16% cashback,2.73% cashback,1.84% cashback,4.00% cashback,3x points
5074,4.05% cashback,2x points,4x points,4.30% cashback,1x points,1x points,5x points,4x points,2.31% cashback,4x points
8651,1x points,4.22% cashback,4x points,1.40% cashback,1x points,1x points,1.84% cashback,5x points,4.50% cashback,2x points
9402,1x points,3x points,3x points,5x points,3.88% cashback,1x points,3x points,2x points,5x points,5x points
5094,0.73% cashback,5x points,4x points,2x points,2.65% cashback,1x points,3x points,1x points,1x points,4.99% cashback
8999,4.45% cashback,2.04% cashback,4.08% cashback,2.00% cashback,4.69% cashback,3.48% cashback,2.65% cashback,0.50% cashback,1x points,4.05% cashback
4225,5x points,2.35% cashback,5x points,1.06% cashback,3.76% cashback,1x points,4x points,1.61% cashback,3.78% cashback,1.44% cashback
7338,2x points,1.42% cashback,5x points,1x points,2x points,1x points,1x points,4x points,2.19% cashback,5x points
4011,1.22% cashback,2.95% cashback,2x points,1.25% cashback,5x points,4x points,2x points,2.37% cashback,4.90% cashback,5x points
6513,1.08% cashback,3x points,4.98% cashback,4.77% cashback,1x points,5x points,4x points,3.08% cashback,1.88% cashback,4x points
5735,5x points,4x points,2.82% cashback,4x points,2.84% cashback,3.09% cashback,4x points,5x points,2.72% cashback,1x points
7519,1x points,4.16% cashback,1.05% cashback,1.46% cashback,5x points,2.96% cashback,4.14% cashback,5x points,1x points,3x points
5973,3.63% cashback,1.26% cashback,1x points,2.53% cashback,3x points,4.21% cashback,4.40% cashback,1.99% cashback,1x points,3.48% cashback
8661,4x points,3x points,4.23% cashback,1x points,4x points,2.58% cashback,4.00% cashback,4x points,3x points,5x points
1761,3x points,3.73% cashback,3x points,4.66% cashback,2x points,3x points,2.27% cashback,1.01% cashback,2x points,3.48% cashback
7339,1.94% cashback,1x points,4.10% cashback,1.78% cashback,4.90% cashback,3x points,2x points,3x points,4x points,2x points
6211,2.51% cashback,0.54% cashback,3.88% cashback,4.76% cashback,2.41% cashback,2.00% cashback,0.83% cashback,3x points,3.74% cashback,5x points
5541,4.15% cashback,1x points,4x points,3x points,5x points,1x points,1.35% cashback,5x points,2x points,4.99% cashback
5949,3.06% cashback,4x points,3x points,2x points,4.64% cashback,3.67% cashback,1.34% cashback,2x points,2x points,3.24% cashback
7251,4x points,1x points,3.77% cashback,4.47% cashback,4.58% cashback,1.14% cashback,4x points,2.71% cashback,3x points,4x points
5661,1x points,2.77% cashback,1x points,2.62% cashback,1.03% cashback,5x points,4.26% cashback,2.73% cashback,1x points,1.86% cashback
7629,1.14% cashback,4.94% cashback,0.53% cashback,3x points,1.19% cashback,4x points,1x points,1.44% cashback,1x points,0.75% cashback
5598,3x points,5x points,3.26% cashback,4x points,4.38% cashback,0.95% cashback,2x points,2x points,3.60% cashback,2.27% cashback
1799,2x points,0.76% cashback,3.60% cashback,3x points,3x points,4x points,2x points,2.77% cashback,2.90% cashback,1x points
2842,4.26% cashback,5x points,2x points,4x points,2.74% cashback,2x points,3.85% cashback,3x points,2x points,0.64% cashback
5941,4x points,1x points,5x points,2x points,3.50% cashback,0.66% cashback,4x points,1x points,1x points,5x points
7032,1.33% cashback,2x points,2.05% cashback,2x points,5x points,4.32% cashback,4.73% cashback,3.89% cashback,5x points,1x points
7941,2.40% cashback,1x points,1.52% cashback,1x points,0.60% cashback,1.35% cashback,3x points,5x points,2.51% cashback,5x points
5655,3.39% cashback,2.19% cashback,2.09% cashback,1.77% cashback,2.18% cashback,3x points,3x points,4.96% cashback,1.21% cashback,5x points
5972,0.60% cashback,4x points,3.64% cashback,2x points,1x points,3.11% cashback,4.38% cashback,5x points,3x points,2x points
5111,1.32% cashback,3.75% cashback,2.77% cashback,2x points,4x points,0.54% cashback,5x points,1x points,4x points,4.74% cashback
5943,5x points,4x points,2.47% cashback,3.74% cashback,4x points,1x points,3x points,4x points,1.29% cashback,4.64% cashback
5996,5x points,0.99% cashback,1.38% cashback,1x points,5x points,4x points,4x points,5x points,1x points,0.92% cashback
4723,4.15% cashback,2.65% cashback,1x points,2.02% cashback,4x points,2x points,4.84% cashback,4.80% cashback,3.36% cashback,4x points
5697,4x points,2.02% cashback,4.50% cashback,4.32% cashback,4x points,2x points,1x points,3.94% cashback,3.51% cashback,4x points
9311,2.88% cashback,3x points,2x points,1.66% cashback,2x points,5x points,1.39% cashback,4.83% cashback,2x points,0.83% cashback
7276,2x points,4x points,0.77% cashback,3x points,5x points,2x points,0.65% cashback,1x points,4.80% cashback,3x points
4121,3.67% cashback,3x points,1x points,4x points,1.08% cashback,4.42% cashback,1x points,2.14% cashback,4.36% cashback,1.52% cashback
4812,3.20% cashback,4x points,1x points,5x points,4x points,1x points,5x points,2.69% cashback,2x points,3x points
4814,4.45% cashback,3x points,1.20% cashback,1.65% cashback,4.59% cashback,5x points,0.71% cashback,0.90% cashback,4x points,3.44% cashback
4821,0.52% cashback,2.45% cashback,2.32% cashback,2.52% cashback,2.33% cashback,5x points,0.55% cashback,3.71% cashback,2.81% cashback,4.75% cashback
5998,1x points,2.29% cashback,1x points,1x points,3x points,2x points,1.30% cashback,0.56% cashback,2x points,4.20% cashback
8734,3x points,4x points,2x points,4.60% cashback,3.88% cashback,0.93% cashback,2.79% cashback,3x points,5x points,1x points
7922,1.41% cashback,2.19% cashback,3.51% cashback,1.60% cashback,5x points,5x points,4.02% cashback,2.64% cashback,3x points,5x points
7012,2x points,5x points,4.90% cashback,2.99% cashback,2.62% cashback,5x points,2x points,4.33% cashback,4x points,3x points
7534,1x points,5x points,1.88% cashback,0.69% cashback,5x points,4.56% cashback,5x points,2.64% cashback,0.51% cashback,2.58% cashback
4784,4.26% cashback,1.97% cashback,3x points,0.78% cashback,1x points,2x points,2.39% cashback,4x points,1x points,3.45% cashback
7991,3x points,1x points,1.57% cashback,2.23% cashback,3.90% cashback,1x points,4x points,3x points,3x points,0.78% cashback
7549,1x points,2.36% cashback,2x points,1x points,3.48% cashback,2x points,2.20% cashback,2.98% cashback,5x points,4.76% cashback
7033,4.09% cashback,5x points,4.34% cashback,5x points,0.75% cashback,2.68% cashback,0.71% cashback,1.90% cashback,5x points,2x points
4789,0.66% cashback,0.69% cashback,1x points,1.66% cashback,3x points,4.14% cashback,4x points,2.81% cashback,2.82% cashback,4x points
4722,3x points,3x points,2.10% cashback,2x points,1.87% cashback,4.42% cashback,0.98% cashback,3x points,4x points,4x points
7511,2.81% cashback,5x points,1x points,2x points,1.39% cashback,1x points,2.48% cashback,5x points,5x points,4.94% cashback
7513,3.99% cashback,3.94% cashback,2.46% cashback,1.99% cashback,3.88% cashback,4.62% cashback,5x points,3x points,1x points,0.74% cashback
2791,1x points,1x points,2.41% cashback,2x points,4x points,4.60% cashback,2.83% cashback,3.19% cashback,4.79% cashback,2.56% cashback
5978,1x points,5x points,3.86% cashback,2x points,3.58% cashback,4x points,1.35% cashback,4x points,2.72% cashback,3.78% cashback
9405,2x points,0.56% cashback,5x points,0.57% cashback,3.37% cashback,3x points,1.11% cashback,5x points,4.42% cashback,3x points
5137,4.02% cashback,3.38% cashback,1.11% cashback,2x points,5x points,2x points,1x points,0.61% cashback,4.75% cashback,4x points
5931,5x points,4x points,1x points,1x points,4x points,3.42% cashback,5x points,1.32% cashback,0.83% cashback,3x points
4900,2x points,5x points,4x points,3x points,3.17% cashback,2.44% cashback,2.89% cashback,2x points,2.38% cashback,3.64% cashback
5331,1.07% cashback,4.64% cashback,2x points,2.66% cashback,4.33% cashback,1.03% cashback,4x points,2.40% cashback,5x points,1x points
742,2.42% cashback,5x points,3.06% cashback,5x points,1x points,1.39% cashback,1x points,5x points,2x points,4.31% cashback
7993,4x points,3.40% cashback,3.94% cashback,2.35% cashback,4x points,4x points,2.21% cashback,2x points,2.52% cashback,4.57% cashback
7994,1.52% cashback,3.34% cashback,2x points,3.76% cashback,0.91% cashback,1.08% cashback,1x points,3x points,1.39% cashback,3.26% cashback
7841,2.76% cashback,4x points,5x points,4.18% cashback,0.88% cashback,1x points,1.71% cashback,5x points,4.31% cashback,5x points
8249,3x points,5x points,1.91% cashback,0.90% cashback,5x points,4x points,2.62% cashback,3.51% cashback,2.40% cashback,3x points
7631,4.90% cashback,3x points,1x points,1.08% cashback,5x points,2x points,5x points,3.22% cashback,3x points,1.37% cashback
7692,3.85% cashback,1x points,3.83% cashback,0.85% cashback,2x points,0.57% cashback,2.14% cashback,0.56% cashback,2.02% cashback,2.49% cashback
5300,4x points,2x points,5x points,3x points,3.14% cashback,1x points,1x points,3.90% cashback,2.71% cashback,1.98% cashback
5698,5x points,2.08% cashback,3x points,4.42% cashback,1.71% cashback,2x points,5x points,1x points,4.55% cashback,4x points
4829,1.77% cashback,5x points,2.26% cashback,2x points,2.91% cashback,0.81% cashback,1.38% cashback,1x points,4.63% cashback,3.40% cashback
5631,2.54% cashback,2x points,4x points,4x points,2.60% cashback,3.30% cashback,5x points,1x points,1.65% cashback,4x points
5621,2x points,3.54% cashback,3x points,1.97% cashback,1x points,5x points,4.17% cashback,1.44% cashback,1x points,0.76% cashback
5935,3.07% cashback,4x points,3.83% cashback,1x points,0.53% cashback,5x points,5x points,2x points,3.71% cashback,3.73% cashback
